memo_title,filename,cluster_id,book,part,chapter,story_name,story_exists,memo_id
Career Crossroads and Psilocybin Service Center Trial,02_1min_to_5min/NW Quimby St 19.json,124,Spirituality,Part III: Healing and Integration,Chapter 7: Professional Integration,Story 124: Healing Gifts and Professional Path Alignment,False,25ee2d54-9fb5-81ee-97f6-d3dec10d1620
Exploring Healing Paths Beyond Traditional Business,"02_1min_to_5min/Chris asking questions about what to do next? Not marketing, not business .json",124,Spirituality,Part III: Healing and Integration,Chapter 7: Professional Integration,Story 124: Healing Gifts and Professional Path Alignment,False,25ee2d54-9fb5-819e-b70c-d7a45907370c
Guided Forest Therapy Journey With Inner Child Healing,03_5min_to_20min/5724 NE 60th Ave 17.json,119,Spirituality,Part III: Healing and Integration,Chapter 6: Ancestral Wisdom,Story 119: Ancestral Connection and Intergenerational Healing,False,25ee2d54-9fb5-8174-811a-efec16dd8c53
Healing Generational Masculine Trauma Through Bloodline Work,02_1min_to_5min/Bloodline healing .json,119,Spirituality,Part III: Healing and Integration,Chapter 6: Ancestral Wisdom,Story 119: Ancestral Connection and Intergenerational Healing,False,25ee2d54-9fb5-8157-8514-fe3e49fa4ba1
Montego's Ancestral Guidance: Healing The Paternal Line,02_1min_to_5min/Montaigo:fathers fathers line:full moon circle.json,119,Spirituality,Part III: Healing and Integration,Chapter 6: Ancestral Wisdom,Story 119: Ancestral Connection and Intergenerational Healing,False,25ee2d54-9fb5-810e-a162-e6263f61e802
Desert Vision Quest For Warrior King Archetype,03_5min_to_20min/5724 NE 60th Ave 88.json,115,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 115: Vision Quest and Spiritual Self-Initiation,False,25ee2d54-9fb5-815b-83b4-d932b9dd3080
Self-Initiation Vision Quest Into Masculine Leadership,02_1min_to_5min/OURS: self initiation into the circle of brother warriors and chief oh shit.json,115,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 115: Vision Quest and Spiritual Self-Initiation,False,25ee2d54-9fb5-8106-950c-cff7796fb4ca
Rehuman Bathhouse: Connection Through Saunas And Community,03_5min_to_20min/Rehuman Bathhouse Pitch .json,118,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 118: Sauna and Collective Singing for Transformation,False,25ee2d54-9fb5-81ff-8c30-d31f765442da
Sauna Experience Host Qualifications And Background,02_1min_to_5min/5724 NE 60th Ave 48.json,118,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 118: Sauna and Collective Singing for Transformation,False,25ee2d54-9fb5-8160-a965-d4d67672c90f
Creating Sacred Spaces For Voice And Transformation,02_1min_to_5min/5724 NE 60th Ave 46.json,118,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 118: Sauna and Collective Singing for Transformation,False,25ee2d54-9fb5-8172-95d0-f07f8cfcc870
Sacred Sauna Singing Experience Offering,02_1min_to_5min/5724 NE 60th Ave 47.json,118,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 118: Sauna and Collective Singing for Transformation,False,25ee2d54-9fb5-81de-8bc9-ff38102434a2
Three Types Of Sauna Sessions Website Copy,01_10s_to_1min/University of Oregon Portland 30.json,118,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 118: Sauna and Collective Singing for Transformation,False,25ee2d54-9fb5-8127-aef2-d2560f8e1d36
Rehuman Bathhouse Creative Jingle,01_10s_to_1min/NE 75th Ave.json,118,Spirituality,Part II: Creating Sacred Containers,Chapter 5: Embodied Spiritual Practice,Story 118: Sauna and Collective Singing for Transformation,False,25ee2d54-9fb5-81ac-9e4c-c37092d5cff9
Reclaiming Our Innate Capacity for Grief,02_1min_to_5min/We don’t need permission or frameworks for grieving:feeling:rehumaning.json,120,Spirituality,Part II: Creating Sacred Containers,Chapter 4: Healing Through Community,Story 120: Natural Grieving Without Complex Frameworks,False,25ee2d54-9fb5-8168-a807-fc6905b2bce6
Integration Council: Four Questions After Vision Quest,03_5min_to_20min/Integration council: voice note answering 4 questions .json,122,Spirituality,Part II: Creating Sacred Containers,Chapter 4: Healing Through Community,Story 122: Healing Through Community Witness and Integration,False,25ee2d54-9fb5-81ea-bf30-dfecfa8f5095
Deep Dark Library - Digital Council Community Vision,"02_1min_to_5min/Deep dark library - council, 1:1, community .json",122,Spirituality,Part II: Creating Sacred Containers,Chapter 4: Healing Through Community,Story 122: Healing Through Community Witness and Integration,False,25ee2d54-9fb5-81fb-b5d9-cb3aca724675
"Community Healing Model With Place, Pathways, And Sponsorship","02_1min_to_5min/Community model - place, pathways, council, sponsorship .json",122,Spirituality,Part II: Creating Sacred Containers,Chapter 4: Healing Through Community,Story 122: Healing Through Community Witness and Integration,False,25ee2d54-9fb5-81a2-8cbe-d66e7191b66a
Deep Dark Library Community Gathering Description,02_1min_to_5min/DDL description??.json,122,Spirituality,Part II: Creating Sacred Containers,Chapter 4: Healing Through Community,Story 122: Healing Through Community Witness and Integration,False,25ee2d54-9fb5-81f7-9f58-c6a3092e77ab
Sonna Rehab Community Healing Invitation,01_10s_to_1min/Sauna rehab pitch.json,122,Spirituality,Part II: Creating Sacred Containers,Chapter 4: Healing Through Community,Story 122: Healing Through Community Witness and Integration,False,25ee2d54-9fb5-8182-bc8d-d51d08525704
Return To The Village Movement,02_1min_to_5min/Bipartisan Cafe.json,114,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 114: Modern Urban Villages and Community Connection,False,25ee2d54-9fb5-81dc-816a-ecc867b19b9d
Community Weaving Vision And Collaboration Ideas,02_1min_to_5min/New Recording 12.json,114,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 114: Modern Urban Villages and Community Connection,False,25ee2d54-9fb5-8151-9154-d3ad179815d2
Deep Dark Library Vision and Community Manifesto,03_5min_to_20min/5724 NE 60th Ave 25.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81c6-acd3-f22728ca6446
Welcome To Otherländ: A Sacred Space For Searchers,03_5min_to_20min/Welcome to Otherländ .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81bd-a48f-e87d023107cc
Sacred Womb Space For Rehumanizing,02_1min_to_5min/Womb:rehuman.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-815a-9898-d08152b0e580
Spiritual Awakening and Earth Connection Freestyle,02_1min_to_5min/Freestyling .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81d0-9ba3-dc2c6d2e53a2
Sacred Witness Council: Healing Through Authentic Presence,02_1min_to_5min/Witness council .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81f7-8069-d134644439b8
Deep Dark Library Vision and Community Manifesto,03_5min_to_20min/5724 NE 60th Ave 25.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-8133-beee-ee3d124dd14d
Building Sacred Spaces For Soulful Community,02_1min_to_5min/Where’s my sacred space?.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-815f-87f5-c99d1a5c00fb
Welcome To Otherländ: A Sacred Space For Searchers,03_5min_to_20min/Welcome to Otherländ .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-8199-b06e-d0fec382b1aa
Sacred Womb Space For Rehumanizing,02_1min_to_5min/Womb:rehuman.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81a5-a45b-d05c065e332b
Spiritual Awakening and Earth Connection Freestyle,02_1min_to_5min/Freestyling .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81c0-bcbe-ff633ab63e37
Sacred Witness Council: Healing Through Authentic Presence,02_1min_to_5min/Witness council .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-8179-b5fe-fe5c957d5c9a
"Brotherhood, Boundaries, and Sacred Intimacy",04_over_20_minutes/University of Oregon Portland 26.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-811e-83ee-f9f3e931a4ad
Building Sacred Spaces For Soulful Community,02_1min_to_5min/Where’s my sacred space?.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-819e-b09a-c0cc007b5ac1
Ursula's Deep Dark Library Opening Ritual,02_1min_to_5min/Ursula opening .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-812b-b450-f35de675e5b2
Ursula's Deep Dark Library Opening Ritual,02_1min_to_5min/Ursula opening .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-812d-839a-e5cb567dadb1
"Brotherhood, Boundaries, and Sacred Intimacy",04_over_20_minutes/University of Oregon Portland 26.json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-8163-be87-f8e014145b5f
04_over_20_minutes/Rehuman: discussion with Matt .json,04_over_20_minutes/Rehuman: discussion with Matt .json,117,Spirituality,Part II: Creating Sacred Containers,Chapter 3: Sacred Spaces and Ritual Design,Story 117: Sacred Spaces and Ritual Containers,False,25ee2d54-9fb5-81b2-98fb-e56668aac3d7
Community-Owned Third Places: Solving The Loneliness Epidemic,03_5min_to_20min/Rehuman: community:business model.json,112,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 112: Combating Modern Disconnection Through Intentional Gathering,False,25ee2d54-9fb5-8132-aab4-ca926259d2d2
The Midnight Library - A Vision for Authentic Information,02_1min_to_5min/Midnight library - more framing.json,112,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 112: Combating Modern Disconnection Through Intentional Gathering,False,25ee2d54-9fb5-811a-94b0-cccf5af9c446
Reclaiming Authentic Life From Digital Drift,02_1min_to_5min/5724 NE 60th Ave 79.json,112,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 112: Combating Modern Disconnection Through Intentional Gathering,False,25ee2d54-9fb5-8160-b842-e8dc9f776e9b
The Human Project: Building Community In A Disconnected World,02_1min_to_5min/New Recording 2.json,112,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 112: Combating Modern Disconnection Through Intentional Gathering,False,25ee2d54-9fb5-81ef-9cb5-deffb3719da4
Surrender To The Movement Beyond Screens,02_1min_to_5min/NW Wilson River Hwy 5.json,112,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 112: Combating Modern Disconnection Through Intentional Gathering,False,25ee2d54-9fb5-8138-b63b-e5c871d0219e
Odyssey Growth Strategy: Partnership vs Ownership Decision,04_over_20_minutes/Odyssey - Interview Questions.json,112,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 112: Combating Modern Disconnection Through Intentional Gathering,False,25ee2d54-9fb5-81f1-a94b-d3911498938c
A Call To Evolution Back To Community,03_5min_to_20min/A call to evolution .json,113,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 113: Returning to Village-Based Human Connection,False,25ee2d54-9fb5-8112-a5bb-f01d2832c8d4
Wounded Healers Project Action Items and Next Steps,03_5min_to_20min/Action Items .json,113,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 113: Returning to Village-Based Human Connection,False,25ee2d54-9fb5-81b4-9503-d95a774276de
Rehumaning: Reclaiming Our Village Nature,02_1min_to_5min/Ours: Rehumaning .json,113,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 113: Returning to Village-Based Human Connection,False,25ee2d54-9fb5-81c0-9a28-c5c0dfe901aa
Rehumanizing: Our Village Nature Lost,02_1min_to_5min/Ours: Rehumanig .json,113,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 113: Returning to Village-Based Human Connection,False,25ee2d54-9fb5-8156-b9ef-ca7f9d6e984b
Song Analysis: Technology's Threat to Human Connection,02_1min_to_5min/Fade out whaaaaaa?! .json,111,Spirituality,Part I: The Great Disconnection,Chapter 1: What We've Lost,Story 111: Technology Replacing Authentic Human Connection,False,25ee2d54-9fb5-815a-9181-e4cc039db104
